SpeciesName,Plant,Grass,Nfix,RGR,SLA,LA_LP,LAR,LC,LCN,sLDen,LDMC,LDM_P,LWR,LMPR,LN_LA,LN,LNU,RC,RCN,RDia,RDM_P,RL,SRL,RN,RNU,RA_P,SRA,RDen,SDM_P,SRR
Achillea millefolium,achmil,0,0,0.263187914,151.3436971,0.028,79.32240989,38.90245817,38.10024339,0.240570637,0.15003708,3.92,0.50030699,0.685631,1.013660123,1.343049036,9.452956683,41.24419738,46.68847073,0.222,3.124,55747.3999,19389.84001,0.889769247,16.86169017,3868.310714,1326.253758,0.135,9.85,3.153008963
Bromus erectus,broere,1,0,0.1251168,153.5695637,0.038,108.9571743,42.37204548,20.20274392,0.458458011,0.245090249,4.1,0.691965748,0.286416,1.322931625,2.122065922,21.80054014,33.68079211,46.5627561,0.1795,6.676,148252.4712,23224.67533,0.732202598,31.62462063,8413.496028,1305.37526,0.1665,6.06,0.907729179
Bromus hordeaceus,brohor,1,0,0.195976463,206.6813817,0.0825,113.5464933,41.85804238,29.1869358,0.521473112,0.200990986,4.342,0.567148537,0.6406725,1.039115591,2.276767113,14.4967457,39.73283434,46.45876321,0.15,7.046,345067.2158,51889.81612,0.860972888,25.10189386,16805.83738,2393.827418,0.1085,7.436,1.055350554
Carum carvi,carcar,0,0,0.12201875,468.0421318,0.01,466.8221706,40.98861051,12.51092025,0.316574561,0.197406591,1.428,0.991502683,0.04075,1.584753767,3.57851491,16.21706985,41.79693115,27.49865398,0.2305,1.016,22488.28484,32727.68712,1.784798046,17.99612965,1585.917144,2319.937284,0.117,1.434,1.411417323
Centaurea jacea,cenjac,0,0,0.184296828,202.7802853,0.49,176.9993038,40.09046029,12.95897326,0.152659839,0.275361983,2.722,0.74920385,0.702756667,1.869880062,3.355794516,12.9959861,44.18867797,30.39291097,0.3045,2.99,33137.05346,11394.8437,1.516250975,22.69441612,2826.501476,1054.818458,0.156,5.274,1.763879599
Cirsium oleraceum,cirole,0,0,0.173449302,132.9298835,0.202,122.3654499,36.16367548,27.67266841,0.272884786,0.127983542,6.968,0.92245875,0.418906,0.996088937,1.318839103,17.02640803,41.26471968,57.92036691,0.261,10.7,134014.626,12411.56776,0.712100511,26.55589892,10766.39659,1011.976171,0.1605,7.522,0.702990654
Crepis biennis,crebie,0,0,0.201938261,235.48022,0.23,226.4930446,40.05849817,26.24136264,0.263706198,0.138704672,8.074,0.959796564,0.441362,0.687118868,1.622596788,18.29290562,46.37649848,61.22803684,0.2925,16.098,232996.1712,17003.49581,1.022761651,38.36271893,21437.51375,1525.820447,0.099,8.424,0.523294819
Dactylis glomerata,dacglo,1,0,0.212129591,174.6819324,0.07,104.6718002,42.54604529,34.52957543,0.435527932,0.285072978,10.764,0.561337974,0.918454,0.725323743,1.287919096,23.11357432,48.77958223,88.90166786,0.1495,15.446,529780.7967,35108.42029,0.546575833,37.36094483,24220.27979,1597.250487,0.17,19.234,1.245241486
Festuca pratensis,fespra,1,0,0.187009491,185.7781416,0.055,104.8505852,41.30825527,24.16307635,0.367776837,0.220366543,5.452,0.570526801,0.481212,0.976703731,1.741126421,21.73484928,46.79294273,68.64140221,0.156,8.842,277013.087,31366.88442,0.705424759,27.51448659,13329.19745,1510.894699,0.182,9.592,1.084822438
Festuca rubra,fesrub,1,0,0.177159408,89.81588738,0.024,68.93546364,41.52412822,30.73703182,0.677289552,0.274644109,8.236,0.740549253,0.563712,1.590891637,1.377565271,18.02031889,48.99207503,70.62246264,0.1515,9.074,299747.3618,33692.36741,0.716770786,29.97005312,14190.98913,1588.349284,0.1675,11.402,1.256557196
Lathyrus pratensis,latpra,0,1,0.100743217,262.2759707,0.68,195.8272226,45.06743065,21.01673141,0.321795923,0.237344154,2.176,0.747632919,0.069598,1.267171256,3.260898799,7.868324626,42.29762083,12.61268609,0.4095,1.964,12489.36789,6329.727228,3.414904517,22.31085513,1502.919337,766.8377976,0.141833333,2.96,1.50712831
Leontodon autumnalis,leoaut,0,0,0.217730989,247.9995593,0.056666667,50.96072195,40.22851831,28.53344496,0.333084195,0.143124278,1.9475,0.233568649,0.0875,0.698201329,1.684401403,8.037640095,40.7739642,38.56540687,0.24375,1.27,36098.66677,30261.12581,1.236190502,13.94366619,2797.486606,2285.715098,0.078125,7.97,6.275590551
